Price,District,YearOfConstruction,Area,Type,Link
139000000,Медеуский,1,85,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698272331
70000000,Алмалинский,1979,80,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699201699
10000000,Турксибский,на универсальном рынке,21,"
                    Магазины и бутики ",/a/show/693202449
3800000000,Медеуский,отдельностоящее здание,2113,"
                    Свободное назначение ",/a/show/688230483
30000000,Алматы,2014,258,"
                    Свободное назначение ",/a/show/695809543
47500000,Наурызбайский,2021,60,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/699201612
487410000,Алматы,2024,232.1,"
                    Свободное назначение ",/a/show/699201505
47500000,Наурызбайский,2021,60,"
                    Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки ",/a/show/699201472
285000000,Турксибский,2010,1500,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения ",/a/show/691795430
75000000,Наурызбайский,нет,87,"
                    Магазины и бутики ",/a/show/683425690
9000000,Алатауский,2,106,"
                    Общепит ",/a/show/690419149
55000000,Бостандыкский,да,30,"
                    Салоны красоты ",/a/show/675055659
8636000000,Алмалинский,отдельностоящее здание,8636,"
                    Свободное назначение, офисы, образование ",/a/show/699201397
105000000,Турксибский,в жилом доме или ЖК,507.4,"
                    Свободное назначение, бани, гостиницы и зоны отдыха, образование, развлечения ",/a/show/699201430
3500000000,Алмалинский,отдельностоящее здание,3300,"
                    Свободное назначение, офисы, образование ",/a/show/699200992
1200000,Алмалинский,нет,4.5,"
                    Склады ",/a/show/685843667
50000000,Наурызбайский,2019,64,"
                    Свободное назначение ",/a/show/697514971
12900000,Алмалинский,2011,43,"
                    Свободное назначение ",/a/show/690554857
150000000,Жетысуский,2019,250,"
                    Общепит ",/a/show/695046104
230000000,Жетысуский,1980,208,"
                    Магазины и бутики ",/a/show/697545970
550000,Алмалинский,в бизнес-центре,50,"
                    Офисы ",/a/show/699200473
46000000,Ауэзовский,2016,67,"
                    Офисы ",/a/show/691003871
420000000,Бостандыкский,2023,233,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699200289
420000000,Бостандыкский,2023,233,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699200289
14000000,Бостандыкский,2009,27,"
                    Свободное назначение, офисы ",/a/show/699200315
1250000000,Бостандыкский,2009,2395,"
                    Свободное назначение, общепит, бани, гостиницы и зоны отдыха, развлечения ",/a/show/693329344
1330000000,Бостандыкский,2011,1335,"
                    Свободное назначение, офисы, склады, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/694120738
777555555,Жетысуский,1997,1080,"
                    Свободное назначение ",/a/show/698059690
1250000000,Медеуский,2017,1350,"
                    Свободное назначение ",/a/show/57521534
9000000,Алатауский,2018,20,"
                    Магазины и бутики ",/a/show/697902281
93000000,Медеуский,отдельностоящее здание,132,"
                    Бани, гостиницы и зоны отдыха ",/a/show/699011319
25000000,Медеуский,2,38,"
                    Офисы ",/a/show/698822592
79000000,Алатауский,2015,326.8,"
                    Свободное назначение ",/a/show/699004912
35000000,Жетысуский,2014,175,"
                    Бани, гостиницы и зоны отдыха ",/a/show/699199905
50000000,Алмалинский,1936,77,"
                    Свободное назначение, офисы, образование, развлечения ",/a/show/699198750
19500000,Алмалинский,2012,31,"
                    Свободное назначение, офисы, магазины и бутики ",/a/show/698820973
160000000,Алматы,2021,765,"
                    Свободное назначение ",/a/show/678132913
705638400,Бостандыкский,2026,407.88,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/696935270
661521858,Бостандыкский,2024,377.17,"
                    Свободное назначение ",/a/show/687515971
737032100,Бостандыкский,2026,363.07,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/696934661
810898100,Бостандыкский,2026,448.01,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/696934355
1130775800,Бостандыкский,2026,559.79,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/696934928
21000000,Медеуский,2012,65,"
                    Азс, автосервисы и автомойки ",/a/show/699199715
65000000,Бостандыкский,2016,134,"
                    Свободное назначение ",/a/show/699199601
26500000,Алатауский,2023,50,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/698446716
1000000,Турксибский,2017,30,"
                    Свободное назначение, магазины и бутики, склады ",/a/show/698058666
3400000000,Медеуский,отдельностоящее здание,4718,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699198978
165000000,Бостандыкский,2009,332.1,"
                    Свободное назначение ",/a/show/698476379
255000000,Бостандыкский,1980,163,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699198479
25000000,Турксибский,2023,65,"
                    Магазины и бутики ",/a/show/691153284
270000000,Алатауский,2023,300,"
                    Магазины и бутики ",/a/show/699198625
690000000,Медеуский,в жилом доме или ЖК,538,"
                    Общепит ",/a/show/698824234
800000,Алатауский,2024,3.36,"
                    Склады ",/a/show/698820934
144960000,Бостандыкский,2022,181.2,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699198218
246674000,Бостандыкский,2024,170,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/699198145
90000000,Бостандыкский,2006,84,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование ",/a/show/699186484
9000000,Алатауский,2024,38,"
                    Свободное назначение ",/a/show/691955596
8500000,Алматы,2024,144,"
                    Общепит ",/a/show/695385286
49900000,Ауэзовский,2006,80,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки ",/a/show/699198019
73500000,Ауэзовский,1993,121.6,"
                    Магазины и бутики ",/a/show/694114401
2650000000,Медеуский,да,5300,"
                    Магазины и бутики, общепит, салоны красоты, развлечения ",/a/show/697848460
501000000,Медеуский,отдельностоящее здание,313,"
                    Офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/697998968
240000000,Медеуский,2010,260,"
                    Свободное назначение ",/a/show/699198043
540000000,Алмалинский,2014,524,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699197952
58000000,Турксибский,да,400,"
                    Азс, автосервисы и автомойки ",/a/show/672781815
150000000,Наурызбайский,2024,450,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/698925083
70000000,Алмалинский,отдельностоящее здание,106,"
                    Свободное назначение, магазины и бутики ",/a/show/694677162
30000000,Алмалинский,2015,59.9,"
                    Офисы ",/a/show/696130171
14000000,Бостандыкский,2009,27,"
                    Магазины и бутики, салоны красоты, развлечения ",/a/show/699197677
17000000,Бостандыкский,2015,17.5,"
                    Офисы ",/a/show/699197711
14000000,Бостандыкский,в жилом доме или ЖК,27,"
                    Свободное назначение ",/a/show/699197533
12000000,Медеуский,2019,55,"
                    Свободное назначение ",/a/show/699197513
282000000,Бостандыкский,2024,187,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699197413
1339900000,Алмалинский,1990,1500,"
                    Свободное назначение ",/a/show/672857072
63000000,Турксибский,2022,125.2,"
                    Свободное назначение, салоны красоты, медцентры и аптеки ",/a/show/699197184
162746080,Алмалинский,1940,358.7,"
                    Офисы ",/a/show/46461973
14000000,Бостандыкский,2017,18,"
                    Магазины и бутики ",/a/show/690143789
3500000,Бостандыкский,2017,11,"
                    Свободное назначение, склады ",/a/show/689543661
210000000,Наурызбайский,2017,700,"
                    Общепит ",/a/show/692625252
37000000,Медеуский,2021,54.5,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование ",/a/show/685509155
390000000,Бостандыкский,2021,233,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699196735
320000000,Бостандыкский,в жилом доме или ЖК,285,"
                    Свободное назначение ",/a/show/699196897
770353195,Бостандыкский,2026,448.1,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699196877
150000000,Наурызбайский,1,240,"
                    Салоны красоты, бани, гостиницы и зоны отдыха, развлечения ",/a/show/699196787
249990000,Алмалинский,в жилом доме или ЖК,161,"
                    Свободное назначение ",/a/show/699196797
8672400000,Бостандыкский,2020,6424,"
                    Свободное назначение, офисы, магазины и бутики ",/a/show/687986013
9000000,Медеуский,в жилом доме или ЖК,42,"
                    Свободное назначение ",/a/show/692644872
990000000,Алматы,2022,2000,"
                    Свободное назначение ",/a/show/699005071
82000000,Бостандыкский,1978,155,"
                    Офисы ",/a/show/692104812
22000000,Наурызбайский,2019,160,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/697096612
220000000,Бостандыкский,в жилом доме или ЖК,115,"
                    Свободное назначение ",/a/show/699196581
761688720,Бостандыкский,2026,385,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699196676
282000000,Бостандыкский,2024,187,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699196571
1100000000,Бостандыкский,2024,2000,"
                    Общепит ",/a/show/698988954
150000000,Турксибский,2000,900,"
                    Офисы, склады ",/a/show/697343247
450000000,Алатауский,1975,1500,"
                    Свободное назначение ",/a/show/699196499
850000000,Медеуский,отдельностоящее здание,350,"
                    Свободное назначение ",/a/show/693203404
45000000,Медеуский,в жилом доме или ЖК,500,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699196291
149000000,Бостандыкский,в жилом доме или ЖК,166,"
                    Бани, гостиницы и зоны отдыха ",/a/show/699196344
38000000,Жетысуский,cвежий ремонт,163.8,"
                    Свободное назначение ",/a/show/664197630
53000000,Ауэзовский,2007,97,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699196122
182305000,Бостандыкский,2024,101,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699196181
39000000,Алмалинский,1987,40,"
                    Салоны красоты ",/a/show/686647641
110000000,Бостандыкский,cвежий ремонт,184,"
                    Свободное назначение ",/a/show/676921986
15000000,Ауэзовский,отдельностоящее здание,30,"
                    Общепит ",/a/show/697484808
182305000,Бостандыкский,2024,101,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения ",/a/show/699196036
150000000,Бостандыкский,в жилом доме или ЖК,217,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, развлечения ",/a/show/699196010
265000000,Медеуский,2020,407.1,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/698972299
120000000,Алмалинский,в жилом доме или ЖК,75,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699195588
628445765,Бостандыкский,2024,377.17,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699195878
145000000,Алатауский,2015,439,"
                    Образование ",/a/show/676507406
250000000,Алатауский,отдельностоящее здание,1000,"
                    Свободное назначение ",/a/show/687416451
80000000,Ауэзовский,1999,87,"
                    Свободное назначение ",/a/show/699195536
18000000,Жетысуский,2019,20,"
                    Магазины и бутики ",/a/show/695586504
6500000,Алатауский,2021,49.4,"
                    Свободное назначение ",/a/show/693405495
85000000,Наурызбайский,2024,104,"
                    Свободное назначение ",/a/show/698414125
43300000,Турксибский,2008,173,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/698214307
628445765,Бостандыкский,2024,377.17,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699195448
1500000000,Жетысуский,4,3243,"
                    Свободное назначение, офисы, магазины и бутики, склады ",/a/show/697470988
6500000,Бостандыкский,2013,23,"
                    Свободное назначение, склады ",/a/show/697835940
1300000,Алматы,2018,10,"
                    Магазины и бутики ",/a/show/691448607
680000000,Жетысуский,отдельностоящее здание,3000,"
                    Бани, гостиницы и зоны отдыха ",/a/show/691037730
30500000,Ауэзовский,2004,213.1,"
                    Свободное назначение ",/a/show/694073635
433224047,Медеуский,в жилом доме или ЖК,557.3,"
                    Офисы ",/a/show/695418798
200000000,Жетысуский,2013,340,"
                    Свободное назначение ",/a/show/683170179
120000000,Алмалинский,1985,75,"
                    Медцентры и аптеки ",/a/show/699195220
1100000,Алматы,2024,4.9,"
                    Свободное назначение, склады ",/a/show/696220991
7500000,Алатауский,на универсальном рынке,28.8,"
                    Свободное назначение, магазины и бутики, склады ",/a/show/698156513
95000000,Бостандыкский,2022,70,"
                    Салоны красоты ",/a/show/699195256
31500000,Ауэзовский,в жилом доме или ЖК,36,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699195042
30000000,Бостандыкский,2013,36.4,"
                    Свободное назначение ",/a/show/697097080
3800000,Бостандыкский,в жилом доме или ЖК,12,"
                    Склады ",/a/show/698421003
1400000,Бостандыкский,2024,6.5,"
                    Свободное назначение, склады ",/a/show/699005366
68000000,Бостандыкский,1963,80,"
                    Свободное назначение, офисы, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699194961
450000000,Турксибский,1978,2058,"
                    Свободное назначение ",/a/show/694555541
70000000,Наурызбайский,в жилом доме или ЖК,70,"
                    Магазины и бутики, салоны красоты ",/a/show/694573724
165000000,Алмалинский,1965,135,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699194890
70000000,Алмалинский,1979,80,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699194799
650000000,Алмалинский,1985,1077,"
                    Свободное назначение ",/a/show/699194728
67000000,Жетысуский,отдельностоящее здание,200,"
                    Бани, гостиницы и зоны отдыха ",/a/show/697704328
75000000,Алматы,3.7 м,70,"
                    Свободное назначение ",/a/show/698111044
1900000000,Медеуский,2018,1427,"
                    Офисы ",/a/show/696211866
121699000,Алатауский,2025,87,"
                    Свободное назначение ",/a/show/699194676
4500000,Алатауский,2022,37,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты ",/a/show/690535609
1622390000,Жетысуский,1993,6101.4,"
                    Свободное назначение, офисы, склады ",/a/show/695541019
45000000,Алмалинский,2012,132,"
                    Свободное назначение, склады, развлечения ",/a/show/698441470
350000000,Бостандыкский,2015,523,"
                    Магазины и бутики, общепит, бани, гостиницы и зоны отдыха, развлечения ",/a/show/678190929
77000000,Медеуский,1989,54,"
                    Офисы, салоны красоты, образование ",/a/show/697895857
5500000,Медеуский,свет,18.4,"
                    Свободное назначение ",/a/show/687945797
150000000,Турксибский,2022,330,"
                    Бани, гостиницы и зоны отдыха ",/a/show/678762378
1100000000,Алмалинский,2000,1260,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699193876
230000000,Алатауский,2016,440,"
                    Свободное назначение ",/a/show/676990367
51000000,Ауэзовский,1999,63,"
                    Свободное назначение ",/a/show/686296983
1599000000,Алмалинский,2004,2200,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699194001
485000000,Алмалинский,нет,350,"
                    Общепит ",/a/show/26282343
55000000,Жетысуский,1,93,"
                    Свободное назначение ",/a/show/693140727
9000000,Медеуский,2020,24,"
                    Свободное назначение, офисы ",/a/show/695791350
37000000,Алмалинский,2011,38,"
                    Общепит ",/a/show/697456748
400000000,Бостандыкский,2006,800,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699193732
285000000,Бостандыкский,в жилом доме или ЖК,332,"
                    Свободное назначение, офисы ",/a/show/699193681
450000000,Бостандыкский,2022,330,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699193690
450000000,Жетысуский,1979,266,"
                    Свободное назначение ",/a/show/698630470
120000000,Алатауский,2,500,"
                    Азс, автосервисы и автомойки ",/a/show/677349047
1200000,Алмалинский,2022,6,"
                    Свободное назначение, склады ",/a/show/697461359
24000000,Алмалинский,1985,42,"
                    Свободное назначение ",/a/show/687059901
39900000,Ауэзовский,1,41,"
                    Магазины и бутики ",/a/show/682316286
320000000,Алматы,2018,470,"
                    Азс, автосервисы и автомойки ",/a/show/695101554
2900000,Медеуский,1998,24,"
                    Свободное назначение ",/a/show/697497802
20000000,Наурызбайский,1989,70,"
                    Магазины и бутики ",/a/show/693992530
2500000,Жетысуский,2024,15,"
                    Свободное назначение, общепит ",/a/show/697717523
28000000,Наурызбайский,2021,48,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/697535036
150000000,Алмалинский,1993,121.3,"
                    Свободное назначение ",/a/show/676284787
1150000000,Бостандыкский,2023,3291,"
                    Свободное назначение, офисы, общепит ",/a/show/690944076
72500000,Бостандыкский,1955,97.6,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/669757885
270000000,Медеуский,1980,99.6,"
                    Магазины и бутики ",/a/show/697635080
25300000,Медеуский,2021,28,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты ",/a/show/698047046
169000000,Бостандыкский,в жилом доме или ЖК,130,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/684864903
685000000,Медеуский,2000,720,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/692759100
180000000,Медеуский,1976,481.7,"
                    Офисы ",/a/show/687827728
170000000,Медеуский,требуется косметический ремонт,368,"
                    Свободное назначение ",/a/show/679880398
352465000,Бостандыкский,2008,685.2,"
                    Свободное назначение ",/a/show/56180185
507780000,Бостандыкский,в жилом доме или ЖК,241.8,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/698645655
488250000,Бостандыкский,в жилом доме или ЖК,232.5,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/698645807
508410000,Бостандыкский,в жилом доме или ЖК,242.1,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/698646016
1700000000,Бостандыкский,2006,1500,"
                    Свободное назначение, офисы ",/a/show/692658309
950000000,Медеуский,2020,920,"
                    Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения ",/a/show/678394823
56000000,Медеуский,2008,34,"
                    Свободное назначение ",/a/show/697669280
298000000,Ауэзовский,2023,260.49,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/692715972
195000000,Жетысуский,нет,330,"
                    Образование ",/a/show/699193279
8500000,Медеуский,2020,34.7,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки ",/a/show/699193254
70000000,Медеуский,в жилом доме или ЖК,250,"
                    Свободное назначение ",/a/show/698817522
1279250000,Алмалинский,2020,1505,"
                    Свободное назначение, офисы ",/a/show/696239577
350000000,Алмалинский,2009,275,"
                    Свободное назначение ",/a/show/673158515
219000000,Бостандыкский,2007,556,"
                    Свободное назначение ",/a/show/697929423
137000000,Бостандыкский,3.2 м,81,"
                    Свободное назначение, офисы, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699192700
36000000,Наурызбайский,2020,42,"
                    Общепит ",/a/show/699002761
85000000,Алатауский,2010,430,"
                    Бани, гостиницы и зоны отдыха ",/a/show/695829272
69500000,Медеуский,2015,62.5,"
                    Офисы ",/a/show/699192044
96900000,Наурызбайский,2017,105,"
                    Свободное назначение ",/a/show/678639472
500000,Жетысуский,мкр Кокжиек,25,"
                    Магазины и бутики ",/a/show/662148822
26900000,Жетысуский,1980,44,"
                    Салоны красоты ",/a/show/699189534
3800000,Наурызбайский,1,15,"
                    Склады ",/a/show/699190851
78000000,Ауэзовский,2006,210,"
                    Свободное назначение ",/a/show/698744122
65000000,Бостандыкский,1965,112,"
                    Свободное назначение ",/a/show/697709229
720000000,Медеуский,2006,750,"
                    Свободное назначение, офисы, магазины и бутики ",/a/show/667562583
126000000,Алмалинский,2008,173,"
                    Офисы ",/a/show/698609952
110000000,Жетысуский,2005,300,"
                    Свободное назначение ",/a/show/679397563
65000000,Бостандыкский,2024,61,"
                    Офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки ",/a/show/696069746
35000000,Турксибский,2023,89.8,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698197004
75000000,Бостандыкский,в жилом доме или ЖК,87,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699028590
720781100,Бостандыкский,cвежий ремонт,1316,"
                    Свободное назначение ",/a/show/48616602
314899600,Бостандыкский,требуется косметический ремонт,844.8,"
                    Свободное назначение ",/a/show/48616649
112458000,Бостандыкский,2005,166.8,"
                    Свободное назначение ",/a/show/664577041
4421576990,Медеуский,2014,8311.6,"
                    Свободное назначение ",/a/show/666401165
92051000,Бостандыкский,2005,118.1,"
                    Свободное назначение ",/a/show/670895153
7000000,Турксибский,2022,24.9,"
                    Свободное назначение ",/a/show/695691109
65000000,Медеуский,2022,480,"
                    Свободное назначение ",/a/show/682311390
61000000,Ауэзовский,в жилом доме или ЖК,70,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/697015996
10000000,Наурызбайский,2023,22,"
                    Свободное назначение ",/a/show/699190551
75000000,Медеуский,1964,60,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, развлечения ",/a/show/699190506
от683700,Алматы,683.7,2017,"
                    Коммерческая недвижимость
                ",/a/show/684116611
от706900,Алматы,706.9,2017,"
                    Коммерческая недвижимость
                ",/a/show/684116613
от692600,Алматы,692.6,2017,"
                    Коммерческая недвижимость
                ",/a/show/684116612
210000000,Алматы,2024,400,"
                    Свободное назначение, склады ",/a/show/698825268
от25018,Алатауский,46.33,2021,"
                    Коммерческая недвижимость
                ",/a/show/671108954
от40144,Алатауский,77.2,2021,"
                    Коммерческая недвижимость
                ",/a/show/671108956
от24867,Алатауский,46.05,2021,"
                    Коммерческая недвижимость
                ",/a/show/671108955
19900000,Наурызбайский,2019,178,"
                    Свободное назначение ",/a/show/692263405
75000000,Ауэзовский,да,300,"
                    Азс, автосервисы и автомойки ",/a/show/669891597
69000000,Жетысуский,2007,158,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, образование, развлечения ",/a/show/695710942
85000000,Турксибский,2020,120,"
                    Свободное назначение ",/a/show/696960605
55000000,Алатауский,отдельностоящее здание,300,"
                    Азс, автосервисы и автомойки ",/a/show/697487152
158000000,Бостандыкский,2010,300,"
                    Свободное назначение, офисы, склады ",/a/show/688711162
60000000,Алмалинский,2006,70,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты ",/a/show/696397898
22000000,Алмалинский,на универсальном рынке,100,"
                    Магазины и бутики ",/a/show/698308225
25000000,Алматы,2024,55,"
                    Магазины и бутики ",/a/show/697228941
4990000000,Бостандыкский,2020,3338,"
                    Магазины и бутики, общепит, салоны красоты, развлечения ",/a/show/697850294
19999990,Жетысуский,1,110,"
                    Свободное назначение ",/a/show/697858153
20000000,Наурызбайский,на универсальном рынке,80,"
                    Свободное назначение ",/a/show/695183223
1292000000,Наурызбайский,2023,4490.5,"
                    Образование ",/a/show/692840162
10000000,Турксибский,1,132,"
                    Свободное назначение, магазины и бутики, склады ",/a/show/690017987
22000000,Наурызбайский,2020,160,"
                    Офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/696531453
380000000,Алатауский,2005,1000,"
                    Свободное назначение ",/a/show/667085543
8000000,Жетысуский,в торговом центре,40,"
                    Магазины и бутики ",/a/show/681785782
19900000,Бостандыкский,2008,42,"
                    Склады ",/a/show/695147174
30400000,Бостандыкский,2016,32,"
                    Офисы ",/a/show/697420330
18000000,Алмалинский,2012,42,"
                    Свободное назначение ",/a/show/698230752
600000000,Ауэзовский,2023,281.4,"
                    Свободное назначение, общепит ",/a/show/690412096
