Price,NumberOfRooms,District,YearOfConstruction,Floor,Area,Link
29900000,"
                    1",Жетысуский,2023,8,46,/a/show/693578946
60000000,"
                    2",Алмалинский,2023,11,65,/a/show/689050804
33500000,"
                    3",Турксибский,1984,2,61.8,/a/show/667100135
от37792850,"
                    2",Алатауский,2026,66.89,совмещенный,/a/show/690747890
от49844340,"
                    3",Алатауский,2026,92.82,2,/a/show/690501384
от42292400,"
                    1",Алмалинский,2024,45.97,совмещенный,/a/show/683974488
от42292400,"
                    1",Алмалинский,2024,45.97,совмещенный,/a/show/683974488
от49408400,"
                    2",Бостандыкский,2025,66.32,совмещенный,/a/show/683966585
от36240600,"
                    1",Бостандыкский,2025,44.88,совмещенный,/a/show/689196235
53500000,"
                    3",Ауэзовский,2023,8,65.9,/a/show/695622008
от17000000,"
                    1",Алматинская,2023,40.6,совмещенный,/a/show/682004960
от39425587,"
                    2",Турксибский,2025,76.62,2,/a/show/694704256
от86552000,"
                    4",Алмалинский,2025,139.6,2,/a/show/689365700
от148500000,"
                    5",Бостандыкский,2022,275,2,/a/show/667684924
66000000,"
                    2",Медеуский,2022,2,67,/a/show/697425892
32000000,"
                    2",Ауэзовский,2023,9,47.8,/a/show/697166469
26500000,"
                    1",Жетысуский,2022,8,39.7,/a/show/694825803
24500000,"
                    2",Турксибский,1977,3,51,/a/show/694432406
81000000,"
                    3",Бостандыкский,2018,12,88,/a/show/690909648
от29400000,"
                    1",Наурызбайский,2023,52.5,совмещенный,/a/show/682828213
82000000,"
                    3",Алмалинский,2022,3,103.7,/a/show/692355754
150000000,"
                    3",Бостандыкский,2018,8,126,/a/show/689926638
37000000,"
                    1",Алмалинский,2016,10,56,/a/show/690997341
40000000,"
                    1",Алмалинский,2022,3,46,/a/show/694060051
40000000,"
                    1",Бостандыкский,2006,3,50,/a/show/686825455
120000000,"
                    4",Бостандыкский,2022,1,200,/a/show/699054239
150000000,"
                    3",Бостандыкский,2018,8,126,/a/show/689926638
37000000,"
                    1",Алмалинский,2016,10,56,/a/show/690997341
40000000,"
                    1",Алмалинский,2022,3,46,/a/show/694060051
40000000,"
                    1",Бостандыкский,2006,3,50,/a/show/686825455
120000000,"
                    4",Бостандыкский,2022,1,200,/a/show/699054239
47000000,"
                    2",Бостандыкский,2015,13,64,/a/show/694271995
62000000,"
                    2",Алмалинский,2024,5,71.4,/a/show/693194457
52999999,"
                    3",Наурызбайский,2012,8,138,/a/show/689113425
от12247000,"
                    1",Алматинская,2024,34.5,совмещенный,/a/show/683704916
от151700000,"
                    3",Медеуский,2023,104.98,2,/a/show/667124454
41500000,"
                    2",Турксибский,2022,2,66.2,/a/show/697841721
41000000,"
                    4",Алмалинский,1979,5,62,/a/show/697177432
44500000,"
                    3",Турксибский,2023,2,70,/a/show/692116625
45000000,"
                    2",Ауэзовский,2012,6,93.5,/a/show/690747210
48700000,"
                    3",Алатауский,2018,5,88,/a/show/685110613
от108017800,"
                    2",Алматы,2024,81.4,2,/a/show/688394393
от81466000,"
                    3",Бостандыкский,2025,105.8,2,/a/show/674283779
от19000000,"
                    2",Алатауский,2024,53.76,совмещенный,/a/show/696192112
16999999,"
                    1",Алатауский,2023,6,36,/a/show/697604618
31500000,"
                    2",Алатауский,2011,7,62,/a/show/697187663
31500000,"
                    2",Алатауский,2011,7,62,/a/show/697187663
38500000,"
                    2",Жетысуский,2006,4,68,/a/show/696910750
109900000,"
                    4",Бостандыкский,2022,2,120,/a/show/695702457
23000000,"
                    2",Турксибский,1981,3,48.1,/a/show/691941038
34000000,"
                    2",Алатауский,2019,2,59,/a/show/689156258
от22437450,"
                    1",Алатауский,2025,37.71,совмещенный,/a/show/693826791
от214300000,"
                    4",Медеуский,2023,137.65,2,/a/show/667124456
от123228000,"
                    2",Наурызбайский,2025,91.28,2,/a/show/697335396
от48603600,"
                    2",Алмалинский,2024,52.83,совмещенный,/a/show/683974495
38500000,"
                    2",Ауэзовский,2022,10,68,/a/show/696812165
41000000,"
                    2",Ауэзовский,2022,13,48,/a/show/695605454
79000000,"
                    3",Наурызбайский,2022,4,102,/a/show/695467796
116000000,"
                    3",Наурызбайский,2024,3,125.5,/a/show/695183638
48000000,"
                    3",Наурызбайский,2024,2,76.46,/a/show/695067383
45000000,"
                    2",Наурызбайский,2010,9,62,/a/show/693074406
23000000,"
                    1",Жетысуский,2007,5,42,/a/show/680370078
от152900000,"
                    3",Медеуский,2023,98.31,2,/a/show/667124452
от17698000,"
                    2",Алматинская,2024,51.3,совмещенный,/a/show/683704911
от45617100,"
                    3",Алмалинский,2024,80.03,совмещенный,/a/show/677075013
от55308000,"
                    2",Бостандыкский,2025,83.8,совмещенный,/a/show/697710430
от45617100,"
                    3",Алмалинский,2024,80.03,совмещенный,/a/show/677075013
от55308000,"
                    2",Бостандыкский,2025,83.8,совмещенный,/a/show/697710430
от27144000,"
                    1",Алатауский,2025,46.8,совмещенный,/a/show/695180119
57000000,"
                    3",Медеуский,2008,3,77,/a/show/695049229
108000000,"
                    3",Алмалинский,2022,11,110,/a/show/694948831
23000000,"
                    2",Алатауский,2023,5,58,/a/show/694096081
46000000,"
                    2",Медеуский,1980,2,51,/a/show/692596441
30500000,"
                    2",Наурызбайский,2022,10,60.8,/a/show/682054817
41000000,"
                    2",Ауэзовский,1994,6,60,/a/show/694910959
35000000,"
                    2",Ауэзовский,2006,9,56,/a/show/699109970
44999000,"
                    2",Алмалинский,2023,9,52.6,/a/show/696402212
41000000,"
                    3",Ауэзовский,1988,1,66.3,/a/show/693232466
от120268720,"
                    3",Алматы,2024,105.13,2,/a/show/688394396
от54125000,"
                    3",Алмалинский,2025,86.6,совмещенный,/a/show/689365694
от35134900,"
                    1",Бостандыкский,2025,48.13,совмещенный,/a/show/697710422
45000000,"
                    2",Турксибский,2020,3,70.9,/a/show/699134845
42500000,"
                    3",Алатауский,2022,11,71,/a/show/698886336
26500000,"
                    2",Бостандыкский,1966,4,39,/a/show/696102487
40000000,"
                    2",Алмалинский,2012,2,69.4,/a/show/694164492
28500000,"
                    3",Турксибский,1971,4,63,/a/show/693202578
28500000,"
                    3",Турксибский,1971,4,63,/a/show/693202578
65000000,"
                    2",Бостандыкский,2024,6,66.8,/a/show/693103235
23000000,"
                    1",Алатауский,2019,14,40,/a/show/691812344
35000000,"
                    2",Алатауский,2016,7,64,/a/show/698527909
115000000,"
                    3",Бостандыкский,2019,12,109,/a/show/698443970
23500000,"
                    2",Бостандыкский,2013,6,33,/a/show/698147384
32000000,"
                    1",Медеуский,1982,4,34.4,/a/show/698005118
26500000,"
                    2",Турксибский,1978,1,51.2,/a/show/693679915
46000000,"
                    3",Ауэзовский,1986,1,71,/a/show/693581059
46000000,"
                    3",Турксибский,1983,1,68,/a/show/690537191
31000000,"
                    3",Наурызбайский,1994,5,73.2,/a/show/681715368
54000000,"
                    2",Алмалинский,1970,7,68,/a/show/663346436
от15949000,"
                    1",Алатауский,2023,38.9,совмещенный,/a/show/697568925
от19110000,"
                    1",Алматинская,2024,45.5,совмещенный,/a/show/696340594
37000000,"
                    1",Ауэзовский,2025,5,45,/a/show/698271510
18500000,"
                    2",Турксибский,1984,5,44.3,/a/show/695072483
31400000,"
                    1",Ауэзовский,2024,4,56.19,/a/show/694166778
от36396450,"
                    3",Турксибский,2025,83.67,совмещенный,/a/show/694706348
от19906500,"
                    2",Алматинская,2024,55.8,совмещенный,/a/show/680003634
28400000,"
                    1",Бостандыкский,1963,3,33,/a/show/698612658
от19906500,"
                    2",Алматинская,2024,55.8,совмещенный,/a/show/680003634
28400000,"
                    1",Бостандыкский,1963,3,33,/a/show/698612658
28000000,"
                    2",Алатауский,2022,6,48,/a/show/692413077
27800000,"
                    2",Ауэзовский,1969,2,46,/a/show/697976985
41000000,"
                    2",Алмалинский,2024,1,49,/a/show/698753844
112000000,"
                    3",Бостандыкский,2021,2,104.5,/a/show/696128150
42000000,"
                    2",Ауэзовский,2005,9,67,/a/show/691731280
40000000,"
                    2",Алмалинский,2016,15,47,/a/show/697531647
от33396300,"
                    3",Турксибский,2025,71.82,совмещенный,/a/show/694706346
66000000,"
                    2",Наурызбайский,2023,1,66.5,/a/show/697130015
от38744000,"
                    2",Бостандыкский,2025,46.4,совмещенный,/a/show/674283776
45000000,"
                    2",Ауэзовский,2021,1,56.6,/a/show/697421620
99999999,"
                    3",Наурызбайский,2015,7,133,/a/show/694910463
от70193200,"
                    4",Жетысуский,2025,116.6,совмещенный,/a/show/684283320
от152500000,"
                    4",Бостандыкский,2022,250,2,/a/show/667684923
от32300000,"
                    1",Бостандыкский,2025,40,совмещенный,/a/show/683966588
48000000,"
                    2",Алмалинский,2012,13,76.7,/a/show/697891176
46000000,"
                    3",Медеуский,2021,5,74,/a/show/696133222
40000000,"
                    1",Алмалинский,2022,15,48.85,/a/show/691643320
от63050000,"
                    2",Бостандыкский,2022,97,2,/a/show/667684876
от63050000,"
                    2",Бостандыкский,2022,97,2,/a/show/667684876
от91200000,"
                    3",Бостандыкский,2022,96,2,/a/show/667443961
39500000,"
                    3",Бостандыкский,1972,4,63.8,/a/show/698897377
77000000,"
                    3",Ауэзовский,2023,12,111.5,/a/show/697175352
53500000,"
                    3",Ауэзовский,2017,8,73.8,/a/show/696307223
115000000,"
                    5",Бостандыкский,2006,14,170.9,/a/show/693846969
64000000,"
                    2",Бостандыкский,2016,8,90.5,/a/show/695156066
35000000,"
                    3",Алмалинский,1980,4,59,/a/show/696608244
120000000,"
                    3",Бостандыкский,2019,4,110,/a/show/697076376
63000000,"
                    3",Бостандыкский,2015,10,92,/a/show/698689608
64900000,"
                    3",Алмалинский,2022,8,77.9,/a/show/692702369
31000000,"
                    2",Турксибский,1988,5,48,/a/show/697977843
23000000,"
                    1",Алатауский,2022,8,39,/a/show/694438536
33500000,"
                    2",Бостандыкский,2023,3,55.1,/a/show/691294517
39500000,"
                    3",Турксибский,2021,9,99.13,/a/show/690855449
от122188500,"
                    4",Бостандыкский,2025,141.75,2,/a/show/694723362
от70456360,"
                    3",Бостандыкский,2025,98.9,2,/a/show/689196240
53500000,"
                    2",Бостандыкский,2023,2,70,/a/show/697697746
25000000,"
                    2",Наурызбайский,2018,9,53.2,/a/show/696424240
47500000,"
                    2",Алмалинский,2023,12,47,/a/show/696208004
31000000,"
                    2",Алатауский,2017,2,49.2,/a/show/694582190
25950000,"
                    1",Алатауский,2019,2,41,/a/show/693469767
35000000,"
                    2",Алатауский,2018,7,57.8,/a/show/693351422
64000000,"
                    3",Бостандыкский,2023,3,142.55,/a/show/678768067
от41730000,"
                    2",Алмалинский,2025,64.2,раздельный,/a/show/689365691
от22920000,"
                    3",Алматинская,2025,57.14,раздельный,/a/show/693821638
от985360000,"
                    6",Бостандыкский,2025,492.68,2,/a/show/695183849
45000000,"
                    2",Бостандыкский,2023,20,47,/a/show/698867508
36000000,"
                    2",Ауэзовский,2024,11,72.7,/a/show/698738087
60000000,"
                    3",Алмалинский,2021,8,81.3,/a/show/697844774
88000000,"
                    3",Бостандыкский,2022,14,115,/a/show/696138724
28000000,"
                    2",Жетысуский,2008,5,65,/a/show/692484777
от143420000,"
                    3",Медеуский,2025,142,2,/a/show/689022906
от154125000,"
                    3",Медеуский,2025,123.3,2,/a/show/689022904
от60022750,"
                    4",Турксибский,2025,123.25,2,/a/show/694704264
от31103050,"
                    2",Турксибский,2025,51.41,совмещенный,/a/show/694704253
от70858400,"
                    2",Алмалинский,2024,77.02,совмещенный,/a/show/690934972
от62257800,"
                    2",Бостандыкский,2025,94.33,совмещенный,/a/show/697710433
67000000,"
                    3",Ауэзовский,2005,7,96,/a/show/692687558
от28377000,"
                    3",Жетысуский,2025,63.06,раздельный,/a/show/688265083
от62257800,"
                    2",Бостандыкский,2025,94.33,совмещенный,/a/show/697710433
67000000,"
                    3",Ауэзовский,2005,7,96,/a/show/692687558
от28377000,"
                    3",Жетысуский,2025,63.06,раздельный,/a/show/688265083
от55567200,"
                    2",Ауэзовский,2024,71.24,совмещенный,/a/show/677332435
61000000,"
                    2",Бостандыкский,2024,10,56,/a/show/697462567
68000000,"
                    2",Алмалинский,2021,5,71,/a/show/697432206
44000000,"
                    4",Ауэзовский,1989,5,87,/a/show/689356442
32500000,"
                    2",Алатауский,2022,11,55,/a/show/682420256
47000000,"
                    2",Алмалинский,2022,9,61,/a/show/680769937
34000000,"
                    3",Наурызбайский,2022,10,64,/a/show/680140400
56500000,"
                    3",Алмалинский,1994,3,73.1,/a/show/698122364
37000000,"
                    2",Алматы,1987,5,54,/a/show/696516796
34500000,"
                    2",Жетысуский,2004,1,61,/a/show/684760673
25000000,"
                    1",Ауэзовский,2024,11,46.3,/a/show/698244367
от59506200,"
                    2",Ауэзовский,2024,76.29,совмещенный,/a/show/677332438
40500000,"
                    2",Ауэзовский,2007,9,60,/a/show/697423666
19000000,"
                    1",Турксибский,2024,5,47.12,/a/show/696049406
56000000,"
                    4",Наурызбайский,2022,5,72.9,/a/show/695491818
от123660000,"
                    5",Бостандыкский,2022,229,2,/a/show/667684906
47000000,"
                    3",Жетысуский,1991,1,76.8,/a/show/696905919
47000000,"
                    3",Жетысуский,1991,1,76.8,/a/show/696905919
36000000,"
                    3",Турксибский,1987,1,66.4,/a/show/694353443
40000000,"
                    2",Алатауский,2010,6,62,/a/show/687083816
от21792500,"
                    1",Алатауский,2026,37.9,совмещенный,/a/show/682385934
от61842000,"
                    3",Бостандыкский,2025,93.7,совмещенный,/a/show/697710432
49800000,"
                    4",Наурызбайский,1990,3,76,/a/show/693698079
61200000,"
                    3",Наурызбайский,2021,2,76.5,/a/show/692682554
12500000,"
                    1",Жетысуский,2021,2,20,/a/show/691662834
36500000,"
                    1",Алмалинский,1974,2,44,/a/show/676083731
от70200000,"
                    2",Бостандыкский,2022,108,2,/a/show/667684878
от225477000,"
                    4",Наурызбайский,2025,167.02,2,/a/show/697335407
от46303400,"
                    1",Бостандыкский,2025,64.76,совмещенный,/a/show/697710428
23500000,"
                    1",Алатауский,2017,3,47,/a/show/698593433
27900000,"
                    1",Жетысуский,2023,8,41,/a/show/698468149
35000000,"
                    2",Алатауский,2018,7,69,/a/show/686716655
139900000,"
                    3",Бостандыкский,2014,8,130.9,/a/show/677724161
34600000,"
                    2",Алатауский,2017,2,58,/a/show/697670843
36000000,"
                    2",Алатауский,2017,2,57,/a/show/695385126
от87375000,"
                    3",Ауэзовский,2024,116.5,2,/a/show/677332105
от36659820,"
                    2",Турксибский,2025,64.77,совмещенный,/a/show/694704255
от36659820,"
                    2",Турксибский,2025,64.77,совмещенный,/a/show/694704255
от47077600,"
                    4",Турксибский,2025,113.44,2,/a/show/694706350
от73143000,"
                    3",Бостандыкский,2024,77.4,2,/a/show/674714355
от34776000,"
                    1",Бостандыкский,2025,41.4,совмещенный,/a/show/674283770
63000000,"
                    2",Алмалинский,2022,2,68.8,/a/show/696337279
от74556000,"
                    3",Ауэзовский,2023,98.1,совмещенный,/a/show/677332099
от73470000,"
                    4",Алмалинский,2025,118.5,2,/a/show/689365699
от17000000,"
                    2",Алатауский,2024,46.03,совмещенный,/a/show/696192111
от86944200,"
                    3",Бостандыкский,2024,106.68,2,/a/show/664168962
45000000,"
                    3",Бостандыкский,1977,1,57.7,/a/show/699182884
43500000,"
                    3",Наурызбайский,2020,2,88.2,/a/show/698748546
30000000,"
                    2",Турксибский,2022,5,62,/a/show/698621792
45000000,"
                    2",Алмалинский,2022,2,50,/a/show/694729970
32500000,"
                    2",Алатауский,2018,9,70,/a/show/694003237
от71949200,"
                    2",Ауэзовский,2024,94.69,2,/a/show/677333170
от17000000,"
                    1",Алматинская,2023,40.5,совмещенный,/a/show/682004966
от19584000,"
                    3",Алматинская,2024,57.6,2,/a/show/683704921
56000000,"
                    3",Медеуский,2017,13,70,/a/show/698946373
80000000,"
                    3",Бостандыкский,2023,12,72.4,/a/show/698496129
136000000,"
                    5",Бостандыкский,2015,1,195,/a/show/698999602
80000000,"
                    3",Бостандыкский,2023,12,72.4,/a/show/698496129
136000000,"
                    5",Бостандыкский,2015,1,195,/a/show/698999602
55500000,"
                    2",Бостандыкский,1989,7,52.3,/a/show/698443719
69000000,"
                    5",Наурызбайский,2008,4,150,/a/show/696236386
19000000,"
                    3",Жетысуский,2010,3,36,/a/show/694249031
42500000,"
                    2",Алмалинский,1976,5,44.7,/a/show/695371684
22500000,"
                    1",Наурызбайский,2020,6,38.2,/a/show/688366495
от125287280,"
                    4",Алматы,2024,108.38,2,/a/show/688394398
от29540000,"
                    2",Алматинская,2025,79.84,совмещенный,/a/show/693821634
от22494000,"
                    1",Алматинская,2022,48.9,совмещенный,/a/show/671035630
45700000,"
                    2",Ауэзовский,2022,7,69,/a/show/698340883
59000000,"
                    3",Жетысуский,2004,5,92,/a/show/693593111
14500000,"
                    1",Жетысуский,2014,5,30,/a/show/686773527
43000000,"
                    2",Бостандыкский,1978,4,56,/a/show/696890407
18500000,"
                    1",Турксибский,1991,3,35,/a/show/696457549
24500000,"
                    2",Жетысуский,1975,4,45.5,/a/show/696102217
52000000,"
                    3",Наурызбайский,2023,10,87,/a/show/695917622
80500000,"
                    3",Бостандыкский,2022,1,100,/a/show/695492183
100000000,"
                    3",Бостандыкский,2020,8,105.1,/a/show/693272971
55000000,"
                    2",Алмалинский,2022,11,63.1,/a/show/691925936
58000000,"
                    3",Алматы,2023,12,93.2,/a/show/685106385
33990000,"
                    2",Жетысуский,2018,9,65,/a/show/683319616
от80641920,"
                    2",Бостандыкский,2025,93.12,2,/a/show/694723353
от33196100,"
                    3",Турксибский,2025,70.63,совмещенный,/a/show/694706345
от19456800,"
                    1",Алмалинский,2024,29.04,совмещенный,/a/show/677075012
67000000,"
                    3",Алмалинский,1985,1,82,/a/show/698319047
36000000,"
                    2",Турксибский,2022,1,64.8,/a/show/687566415
23800000,"
                    2",Алатауский,2024,6,49,/a/show/687474996
28500000,"
                    2",Алатауский,2022,4,55.3,/a/show/681743760
от195360000,"
                    2",Медеуский,2025,177.6,совмещенный,/a/show/689022903
32500000,"
                    2",Жетысуский,2022,7,53.5,/a/show/698678387
30000000,"
                    2",Наурызбайский,2022,4,60,/a/show/697776869
от79921600,"
                    3",Ауэзовский,2024,105.16,совмещенный,/a/show/677521645
от49920000,"
                    2",Алмалинский,2025,76.8,2,/a/show/689365679
от37762500,"
                    3",Алмалинский,2024,66.25,раздельный,/a/show/677075016
25000000,"
                    2",Алатауский,2025,2,69.5,/a/show/699182682
от418000000,"
                    6",Алматы,2022,380,2,/a/show/695394993
от23598000,"
                    1",Алматинская,2022,51.3,совмещенный,/a/show/671035631
26000000,"
                    1",Ауэзовский,2022,5,32,/a/show/698581298
58000000,"
                    2",Бостандыкский,2020,6,58,/a/show/697336193
29500000,"
                    2",Турксибский,2021,10,52,/a/show/696030319
27500000,"
                    1",Бостандыкский,2023,2,33.18,/a/show/691440914
от363090000,"
                    5",Медеуский,2026,207.48,2,/a/show/697299951
от39560500,"
                    2",Жетысуский,2025,62.3,совмещенный,/a/show/684283311
от94700000,"
                    2",Медеуский,2023,69.6,2,/a/show/667124458
35000000,"
                    2",Наурызбайский,2022,1,70,/a/show/698734655
39000000,"
                    2",Ауэзовский,2020,2,60,/a/show/698478540
58000000,"
                    2",Алмалинский,2023,12,69,/a/show/693451601
от87570000,"
                    3",Бостандыкский,2022,139,2,/a/show/667684880
29000000,"
                    2",Алатауский,2017,9,63.6,/a/show/695533831
35000000,"
                    3",Наурызбайский,2023,3,80,/a/show/690963457
от43637550,"
                    2",Бостандыкский,2025,54.89,совмещенный,/a/show/698973069
32000000,"
                    2",Медеуский,2019,9,50,/a/show/699038668
28000000,"
                    2",Алатауский,2024,6,69.1,/a/show/698058415
31500000,"
                    3",Турксибский,1976,2,65,/a/show/697400495
44000000,"
                    2",Ауэзовский,2006,8,73.2,/a/show/697136390
61000000,"
                    3",Бостандыкский,2021,7,64,/a/show/697045286
119000000,"
                    3",Бостандыкский,2023,1,100,/a/show/696476652
19940000,"
                    1",Жетысуский,2010,2,40,/a/show/693037939
23500000,"
                    1",Алатауский,2024,6,48,/a/show/691138600
45000000,"
                    2",Ауэзовский,2022,8,65.4,/a/show/688007825
от52146300,"
                    1",Бостандыкский,2025,51.63,2,/a/show/694723348
54500000,"
                    2",Бостандыкский,1982,2,58.8,/a/show/692728518
24000000,"
                    1",Алатауский,2017,1,42,/a/show/689096418
65000000,"
                    3",Ауэзовский,2024,3,80,/a/show/699213149
24500000,"
                    2",Ауэзовский,1972,1,45,/a/show/699212949
45000000,"
                    2",Наурызбайский,2012,10,108,/a/show/696730242
28000000,"
                    2",Ауэзовский,2024,7,46,/a/show/696681079
34500000,"
                    2",Бостандыкский,2023,14,56,/a/show/695023566
75999000,"
                    4",Бостандыкский,2022,10,103,/a/show/694038009
42000000,"
                    3",Алатауский,2013,7,76,/a/show/687112627
150000000,"
                    3",Медеуский,2015,4,148.3,/a/show/699062054
от44418500,"
                    3",Турксибский,2025,90.65,2,/a/show/694704258
от26988000,"
                    2",Алматинская,2025,69.2,совмещенный,/a/show/693821633
от27219200,"
                    2",Алмалинский,2024,42.53,совмещенный,/a/show/677075011
от40000000,"
                    3",Жетысуский,2024,88.3,2,/a/show/679916901
28900000,"
                    2",Наурызбайский,2021,8,51.4,/a/show/697134374
40000000,"
                    2",Алматы,2024,2,65,/a/show/696954716
64000000,"
                    3",Наурызбайский,2024,2,91.5,/a/show/693009027
52500000,"
                    3",Бостандыкский,1987,5,76.2,/a/show/694326152
37500000,"
                    3",Наурызбайский,2020,2,79.6,/a/show/692600576
36000000,"
                    3",Бостандыкский,1962,2,60,/a/show/699154951
58000000,"
                    3",Медеуский,1972,4,70,/a/show/699213120
55000000,"
                    2",Алмалинский,2007,18,95,/a/show/692249380
41000000,"
                    3",Наурызбайский,2020,15,82,/a/show/691786940
23000000,"
                    1",Ауэзовский,2022,6,30,/a/show/697973052
от23020000,"
                    2",Алматинская,2025,57.55,совмещенный,/a/show/693821629
73010000,"
                    3",Наурызбайский,2025,3,104.3,/a/show/697848789
81075000,"
                    3",Наурызбайский,2025,2,117.5,/a/show/697849281
170000000,"
                    3",Бостандыкский,2015,6,131,/a/show/693472797
25000000,"
                    1",Ауэзовский,2018,3,38,/a/show/690361910
46000000,"
                    3",Алатауский,2012,7,89,/a/show/677277143
от30333120,"
                    2",Алатауский,2025,66.52,2,/a/show/693826796
от28735800,"
                    2",Турксибский,2025,61.14,совмещенный,/a/show/694706343
от39820800,"
                    2",Алатауский,2025,65.28,совмещенный,/a/show/695180122
от135881000,"
                    2",Бостандыкский,44,2024,79.93,/a/show/694787126
34000000,"
                    3",Жетысуский,2022,9,66,/a/show/698698961
18000000,"
                    1",Алатауский,2010,3,39,/a/show/694469368
от126720000,"
                    2",Медеуский,2025,99,2,/a/show/689022902
от123553010,"
                    3",Алматы,2024,109.63,2,/a/show/688394399
от56930500,"
                    3",Жетысуский,2025,94.1,совмещенный,/a/show/684283322
от29120000,"
                    1",Алмалинский,2025,41.6,совмещенный,/a/show/689365678
от13293000,"
                    1",Алматинская,2025,31.21,совмещенный,/a/show/693821615
от141489000,"
                    4",Бостандыкский,2024,140.9,2,/a/show/674714358
55000000,"
                    3",Бостандыкский,2023,3,80.6,/a/show/694024511
42000000,"
                    2",Ауэзовский,2006,1,67,/a/show/690957079
68000000,"
                    3",Медеуский,2021,1,84.8,/a/show/682302824
от74542500,"
                    3",Ауэзовский,2024,99.39,2,/a/show/677521650
от16674000,"
                    1",Алатауский,2023,39.7,совмещенный,/a/show/697568926
42900000,"
                    1",Алмалинский,2021,20,46,/a/show/696716731
44000000,"
                    2",Алмалинский,2023,5,46.3,/a/show/699008274
95000000,"
                    3",Алмалинский,2016,4,115,/a/show/698859690
148700000,"
                    4",Алмалинский,2022,5,118.5,/a/show/699029352
28500000,"
                    1",Медеуский,1981,5,34.2,/a/show/697658799
46000000,"
                    3",Ауэзовский,2024,4,79,/a/show/696805932
98000000,"
                    3",Бостандыкский,2014,3,123.6,/a/show/696552825
43000000,"
                    3",Алатауский,2016,13,89,/a/show/693978551
19500000,"
                    1",Алатауский,2013,6,45,/a/show/690280840
35000000,"
                    3",Жетысуский,2011,6,76.2,/a/show/675207452
от10032000,"
                    1",Алатауский,2027,30.4,совмещенный,/a/show/675066308
от123500000,"
                    4",Бостандыкский,2024,130,2,/a/show/667443966
28000000,"
                    2",Бостандыкский,1961,2,46.6,/a/show/687032447
35500000,"
                    3",Алатауский,1985,1,57.6,/a/show/698778898
38500000,"
                    3",Турксибский,2022,10,98,/a/show/697257883
67000000,"
                    3",Ауэзовский,2024,14,100,/a/show/693365707
35000000,"
                    2",Турксибский,2015,2,63.7,/a/show/687285987
33000000,"
                    3",Жетысуский,5,65,свежий,/a/show/686710127
30500000,"
                    2",Турксибский,1998,4,52,/a/show/697291068
33000000,"
                    4",Жетысуский,2011,6,107,/a/show/696649885
126000000,"
                    3",Бостандыкский,2024,8,114,/a/show/695553519
22000000,"
                    2",Турксибский,1989,1,48,/a/show/695401420
39000000,"
                    3",Турксибский,2007,4,78.2,/a/show/695087246
29500000,"
                    2",Алатауский,47 м²,совмещенный,металлическая,/a/show/692570192
32950000,"
                    2",Жетысуский,2018,9,45,/a/show/692237288
28000000,"
                    2",Алатауский,2013,6,64,/a/show/692006441
40300000,"
                    1",Ауэзовский,2022,17,55.5,/a/show/691920019
120000000,"
                    3",Медеуский,2022,4,75,/a/show/686909198
33500000,"
                    2",Алмалинский,2020,11,43,/a/show/698180464
от64337920,"
                    1",Бостандыкский,2025,65.92,2,/a/show/694723349
от193160000,"
                    4",Медеуский,2025,175.6,2,/a/show/689022910
32500000,"
                    2",Медеуский,1963,1,41,/a/show/694619627
25500000,"
                    1",Жетысуский,1989,1,33.9,/a/show/694610472
32500000,"
                    1",Медеуский,2021,5,55,/a/show/693986415
25500000,"
                    2",Алатауский,2023,11,56.4,/a/show/688233810
34400000,"
                    3",Алатауский,2021,11,55,/a/show/677202483
от91247800,"
                    2",Бостандыкский,2025,93.11,2,/a/show/694723352
от141600000,"
                    3",Медеуский,2023,104.12,2,/a/show/671314142
45000000,"
                    2",Бостандыкский,2023,14,56,/a/show/692384787
93000000,"
                    3",Алмалинский,2015,13,118.6,/a/show/696596325
50500000,"
                    2",Бостандыкский,2019,11,50.1,/a/show/694941128
53500000,"
                    4",Бостандыкский,1989,5,88.6,/a/show/694692491
119900000,"
                    4",Бостандыкский,2008,8,149,/a/show/694906304
64000000,"
                    3",Бостандыкский,2016,12,80,/a/show/692213300
55000000,"
                    3",Ауэзовский,2023,15,89.6,/a/show/692367636
48000000,"
                    2",Алмалинский,2019,13,69.7,/a/show/692512435
75000000,"
                    3",Алмалинский,2011,10,120,/a/show/690967027
105000000,"
                    3",Бостандыкский,2019,13,105.3,/a/show/691685129
27700000,"
                    2",Алатауский,2018,2,63.6,/a/show/699080528
49990000,"
                    4",Ауэзовский,1986,1,82,/a/show/693736543
75600000,"
                    2",Бостандыкский,2016,9,81,/a/show/693646014
29500000,"
                    2",Ауэзовский,1968,4,46,/a/show/694006689
29000000,"
                    2",Ауэзовский,1965,1,45,/a/show/694782420
36000000,"
                    2",Ауэзовский,2021,9,51.3,/a/show/698286550
25950000,"
                    3",Турксибский,1989,1,60,/a/show/695934985
11900000,"
                    1",Бостандыкский,1983,5,21,/a/show/692379086
11000000,"
                    1",Наурызбайский,2017,1,17,/a/show/685421418
от22200000,"
                    3",Алатауский,2027,74,2,/a/show/686802465
от44016000,"
                    2",Наурызбайский,2023,78.6,совмещенный,/a/show/682828220
от16469000,"
                    1",Алматинская,2024,38.3,совмещенный,/a/show/696340603
от195851500,"
                    4",Бостандыкский,44,2024,135.07,/a/show/694787133
от23246400,"
                    2",Жетысуский,2025,48.43,совмещенный,/a/show/688265080
